index,Name of Project,Location,Source of Funds,% WT Actual,% WT Plan,Slippage,Contract Amount,No. of Days,Date Started,Target Date of Completion,Date Completed,Project Engineer,Implementor,Remarks,Report Date,Month,Year,Project Engineer/Site Engineer
2018-01-01,"Const. of Facilites in Evacuation Centers (Const. of Comfort Room & Kitchen), Lunen ES",Tupi,CY 2017 CONT. APPROP.-CAL #34,6.6,3.92,2.68,1545000,75,1/18/18,4/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going,2018-01-01,January,2018,
2018-01-01,Const. of Stage @ Brgy. Tubeng,Tupi,CY 2017 20% LDF,20.69,25.08,-4.39,915350.06,90,1/11/18,4/10/18,,A DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going,2018-01-01,January,2018,
2018-01-01,Inst. Of Lined Canal along Jct. Nhwy.-Cebuano Prov'l. Rd.,Tupi,9999-Non-Office 5% CF,4.14,4.14,0,1487915.68,70,1/18/18,3/28/18,,A DEMETILLO,KING BUILDERS CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,58.21,78.66,-20.45,9769932.04,180,7/26/16,6/27/17,,CJ HICBAN,KING BUILDERS CONST. & SUPPLY,Suspended as of June 16 due to unpassable road condition before the beginning of project,2018-01-01,January,2018,
2018-01-01,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,47.61,30,17.61,1041997.26,90,11/22/16,2/19/17,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,31.93,34.18,-2.25,15950503.14,320,12/5/16,12/23/17,,E SOLATORIO,REYDAN BUILDERS,"Suspended as of September 13, 2017 due to new waterway (under negotiation)",2018-01-01,January,2018,
2018-01-01,Const. of Box Culvert @ Brgy. Saravia,Koronadal City,9999-Non-Office 5% CF,22.88,15.11,7.77,2939820.87,125,11/30/17,4/3/18,,E SOLATORIO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going,2018-01-01,January,2018,
2018-01-01,Const. of Water System @ PEO Compound,Koronadal City,PEO 8751-SB#1,18.47,47.36,-28.89,1916254.64,100,11/5/17,2/11/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; time extension is on process,2018-01-01,January,2018,
2018-01-01,Replacement of SCGCC Roofing @ South Cotabato Gymnasium @ Cultural Center,Koronadal City,1011-SCGCC-SB#1,14.65,71.87,-57.22,5974714.75,90,11/8/17,2/5/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going; time extension is on process,2018-01-01,January,2018,
2018-01-01,"Furniture & Fixtures Fabrication of Deck-Type Beds for Female Inmates, South Cotabato Detention & Rehab. Center",Koronadal City,1012-SCRDC-1-07-07-010-SB#1,60.31,31.3,29.01,993495.69,45,1/10/18,2/23/18,,E SOLATORIO,PASE CONSTRUCTION,On-going,2018-01-01,January,2018,
2018-01-01,Labor for the Repair & Repainting of Provincial Accounting Office (PACCO),Koronadal City,1061-5-02-13-040,50,0,50,95000,45,1/4/18,2/17/18,,E SOLATORIO,RHANEL PABILONA,On-going,2018-01-01,January,2018,
2018-01-01,Fabrication & Inst. Of Rice Steamer,Koronadal City,1012-SCRDC-1-07-04-990,75.26,1.05,74.21,886672.15,60,1/11/18,3/11/18,,E SOLATORIO,FH GOPITEO CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,Improvement of Electrical Facilities & Provision of power House @ Finance Bldg.,Koronadal City,1011-STAFF-999.32-IMPROV'T. OF BLDG. & ELECTRICAL FACILITIES,0.72,0.13,0.59,5429158.31,90,1/22/18,4/21/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,"Const. of SCRDC Addt'l. Bldg. for Female Inmates, Brgy. GPS",Koronadal City,CY 2017 CONT. APPROP.,87.14,100,-12.86,3994980.5,165,7/16/17,12/27/17,,CJ HICBAN,FREDEN CONSTRUCTION,"Letter of recommendation for termination submitted Feb. 1, 2018",2018-01-01,January,2018,
2018-01-01,Inst. Of Lined Canal along San Roque-Bukang Liwayway Road,Koronadal City,CY 2017 20% LDF,73.28,40.34,32.94,826261.82,75,12/3/17,2/15/18,,CJ HICBAN,FH GOPITEO CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,25.08,52.69,-27.61,5919451.68,75,11/28/17,2/10/18,,CJ HICBAN,BETTER WORK CONSTRUCTION,On-going; time extension is on process; No project engineer on site.,2018-01-01,January,2018,
2018-01-01,Conc. Of San Jose-Columbio Brgy. Road,Koronadal City,CY 2017 CONST. APPROP. #198-GF,19.52,61.68,-42.16,4993000,80,11/30/17,2/18/18,,CJ HICBAN,FREDEN CONSTRUCTION,On-going; time extension is on process,2018-01-01,January,2018,
2018-01-01,"Const. of Materials Testing Quality Control Div. Bldg., PEO Compound",Koronadal City,PEO 8751-SB#1-P/P-999.2-CMTQCDB,10.76,10.49,0.27,1690372.86,70,1/18/18,3/28/18,,Z TUMALA,MEGALINE BUILDERS & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,Const. of Senior Citizen Bldg. @ New Lambunao,Tantangan,CY 2017 20% LDF,49.56,16.16,33.4,1491447.02,90,1/11/18,4/17/18,,Z TUMALA,C.A. BETALAC CONST. & GEN. MDSE.,On-going,2018-01-01,January,2018,
2018-01-01,Concreting of Jct. Nhwy. New Ilo-ilo-Libas Road,Tantangan,CY 2017 20% LDF,31.52,44.59,-13.07,14928976.74,150,9/14/17,3/27/18,,A BARRIENTOS,FREDEN CONSTRUCTION,On-going,2018-01-01,January,2018,
2018-01-01,Inst. Of Lined Canal along Jct. Nhwy. Tantangan-San Felipe-Tinongcop Road,Tantangan,CY 2017 20% LDF,79.18,79.18,0,820195.13,60,12/3/17,1/31/18,,A BARRIENTOS,FH GOPITEO CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,"Fencing of APP Center @ PVET, Brgy. Tinongcop",Tantangan,CY 2017 20% LDF,13.57,14.25,-0.68,4994185.24,90,12/20/17,3/19/18,,A BARRIENTOS,FH GOPITEO CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,Rehabilitation of Albagan Road,Tampakan,,49.37,50.64,-1.27,5986721.47,100,9/26/17,2/2/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,"Project suspended as of Jan. 15, 2017, due to unpassable road before project site.",2018-01-01,January,2018,
2018-01-01,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,17.29,15.93,1.36,4033389.66,140,11/28/17,4/16/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,3.23,6.86,-3.63,2987473.44,90,12/26/17,3/25/18,,A BARRIENTOS,MFN BUILDERS,On-going,2018-01-01,January,2018,
2018-01-01,"Const. of Day Care Center, Brgy. Poblacion",Tampakan,CY 2017 20% LDF,18.8,23.69,-4.89,1190000,60,12/19/17,2/16/18,,A BARRIENTOS,"ISULAN ECT CONST. & GEN. MDSE., INC.",On-going,2018-01-01,January,2018,
2018-01-01,"Improvement of Facilities @ Provincial Scion Grove, Nursery & Demo Farm: Const. of 800m Perimeter",Banga,CY 2017 20% LDF,85.22,100,-14.78,4935544.56,150,8/29/17,1/25/18,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going,2018-01-01,January,2018,
2018-01-01,"Establishment of Greenhouse for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.2,77.05,100,-22.95,264308.97,40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going,2018-01-01,January,2018,
2018-01-01,"Establishment of Nursery for Organic Vegetables Production @ Provincial Grove, Nursery & Demo Farm, Sitio Pedregosa, Brgy. Reyes",Banga,CY 2017 20% LDF 8.7.1.1,75.58,100,-24.42,288485.65,40,9/28/17,11/6/17,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going,2018-01-01,January,2018,
2018-01-01,Inst. Of Lined Canal along Rang-ay-Lamba Road,Banga,CY 2017 20% LDF,0,0.76,-0.76,1515778.02,70,9/24/17,12/2/17,,MJ Dauz,DAVAO SANTHONY BUILDERS CORP.,"Suspended as of October 3, 2017 due to the removal of trees along the proposed canal and rechanelling of waterway which will be undertaken by Administration",2018-01-01,January,2018,
2018-01-01,"Renovation-Repair of Training Center @ Provincial Scion Grove, Nursery & Demo Farm",Banga,CY 2017 20% LDF,19.41,48.93,-29.52,1761935.91,100,11/5/17,2/12/18,,MJ Dauz,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going,2018-01-01,January,2018,
2018-01-01,"Inst. Of Lined Canal along Banga-Lamba Road, Brgy. Benitez",Banga,CY 2017 20% LDF,96.41,96.41,0,293938.16,50,12/14/17,2/1/18,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,Additional Installation of Slope Protection along Liwanay-Kusan Road,Banga,CY 2017 20% LDF,51.83,76.48,-24.65,474124.16,45,12/14/17,1/27/18,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; time extension is on process,2018-01-01,January,2018,
2018-01-01,Repair of Lined Canal & Inst. Of Drop Structure @ Sitio Lambukay,Banga,CY 2017 20% LDF,0,11.2,-11.2,2205000,120,1/2/18,5/1/18,,MJ Dauz,FREDEN CONSTRUCTION,Project suspended due to quarry negotiations,2018-01-01,January,2018,
2018-01-01,Concreting of Lambingi-Lampari Road,Banga,CY 2017 20% LDF,0.13,0.67,-0.54,11988000,140,1/18/18,6/6/18,,MJ Dauz,FREDEN CONSTRUCTION,On-going,2018-01-01,January,2018,
2018-01-01,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,0.53,3.75,-3.22,2692684.72,60,11/1/16,12/30/16,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of November 23, 2016 due to water way problem & approval of revised plan",2018-01-01,January,2018,
2018-01-01,Conc. Of Poblacion-Simsiman-Matapol Road,Norala,CY 2015 20% LDF,59.93,78.07,-18.14,11438082.05,230,7/30/17,3/16/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,On-going; still no contractor's project engineer on site to supervise this project,2018-01-01,January,2018,
2018-01-01,Const. of Multi-Purpose Building @ Brgy. San Miguel,Norala,CY 2017 20% LDF,100,100,0,1682391.72,90,11/1/17,2/13/18,1/12/18,A SOBREVEGA,C.A. BETALAC CONST. & GEN. MDSE.,Completed,2018-01-01,January,2018,
2018-01-01,Conc. Of Jct. Lopez Jaena-Puti Road,Norala,CY 2017 20% LDF,33.81,21.38,12.43,14992780.22,125,11/8/17,3/12/18,,A SOBREVEGA,RN BUILDERS & GEN. MDSE.,On-going,2018-01-01,January,2018,
2018-01-01,"Completion of Senior Citizen Bldg., Brgy. Kibid",Norala,CY 2017 20% LDF,0,26.07,-26.07,134826.72,18,1/22/18,2/8/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,No actual accomplishment,2018-01-01,January,2018,
2018-01-01,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,1.48,78.16,-76.68,375786.23,40,12/21/17,1/29/18,,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,Renovation of Lapuz Brgy. Hall,Norala,CY 2017 20% LDF,38.95,59.11,-20.16,1319000,60,12/19/17,2/16/18,,A SOBREVEGA,"ISULAN ECT CONST. & GEN. MDSE., INC.",On-going,2018-01-01,January,2018,
2018-01-01,"Const. of 2-Storey Barangay Hall, Brgy. Poblacion",Sto. Niño,CY 2017 20% LDF,55.72,35.89,19.83,2990000,105,11/14/17,2/26/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going,2018-01-01,January,2018,
2018-01-01,Const. of Guardrail along Jct. Nhwy.-Guinsang-an Provincial Road (Sitio Sta. Cruz),Sto. Niño,CY 2017 20% LDF,39.36,44.71,-5.35,1370930.04,60,12/20/17,2/17/18,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,"Const. of Stage & Bleacher, Brgy. Plaza, Sajaneba",Sto. Niño,CY 2017 20% LDF,1.51,3.71,-2.2,1994000,120,1/18/18,5/17/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going,2018-01-01,January,2018,
2018-01-01,"Completion of Liga Hall, Municipal hall Cmpd., Pob.",Sto. Niño,CY 2017 20% LDF,25.49,5.21,20.28,991000,75,1/10/18,3/25/18,,K SERVAÑEZ,FREDEN CONSTRUCTION,On-going,2018-01-01,January,2018,
2018-01-01,Construction of Naci Bridge,Surallah,CY 2015 20% LDF,95.75,100,-4.25,24830790.34,345,1/21/16,12/30/16,,MJ Dauz,CS CONSTRUCTION & SUPPLY,On-going; the contractor has committed to finish the project despite the liquidated damages incurred,2018-01-01,January,2018,
2018-01-01,Const. of Municipality of Lake Sebu Landmark @ Brgy. Dajay (Lake Sebu-Surallah Junction Road),Surallah,CY 2016 20% LDF,82.48,100,-17.52,1170942.72,180,3/13/17,10/20/17,,ME Dondiego,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going,2018-01-01,January,2018,
2018-01-01,Conc. Of Modon-Upper Sepaka Road,Surallah,CY 2017 20% LDF,26.04,63.95,-37.91,9970794.4,110,11/8/17,2/25/18,,ME Dondiego,MFN BUILDERS,On-going,2018-01-01,January,2018,
2018-01-01,"Const. of 2-Storey Barangay Hall, Brgy. Little Baguio",Surallah,CY 2017 20% LDF,0.6,0.57,0.03,2989004.51,105,1/18/18,5/2/18,,ME Dondiego,NIRVANA CONST. & SUPPLIES,On-going,2018-01-01,January,2018,
2018-01-01,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,0.14,2.85,-2.71,8494519.47,125,1/2/18,5/6/18,,ME Dondiego,HEXAMINDZ CORPORATION,On-going,2018-01-01,January,2018,
2018-01-01,Consreting of Halilan Road,Lake Sebu,CY 2017 20% LDF,0.26,1.8,-1.54,9980267.35,125,1/18/18,5/22/18,,ME Dondiego,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,Construction of Stage. Brgy. Bacdulong,Lake Sebu,CY 2016 PDRMMF-IP,7.56,3.43,4.13,911110.26,90,1/11/18,4/10/18,,ME Dondiego,KING BUILDERS CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,"Completion Brgy. Hall, Brgy. Seloton",Lake Sebu,CY 2016 PDRMMF-IP,17.23,20.33,-3.1,593841.73,50,1/11/18,3/1/18,,ME Dondiego,KGD BUILDERS,On-going,2018-01-01,January,2018,
2018-01-01,"Conc. Of Poblacion, T'boli-New Dumangas Road (Phase II)",T'boli,CY 2016 20% LDF,96.01,94.15,1.86,9937973.74,220,4/5/17,2/9/18,,MJ Dauz,PASE CONSTRUCTION,On-going,2018-01-01,January,2018,
2018-01-01,Conc. Of New Dumangas Road (Leading to Ressetlement Area),T'boli,CY 2017 20% LDF,22.64,92.87,-70.23,4992486.84,85,11/9/17,2/1/18,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; 40 CD time extension is on process,2018-01-01,January,2018,
2018-01-01,Const. of 2 Units CL School Bldg. w/ Two Seater Attached Toilet (Traan Leteng-T'boli ES Extension),T'boli,SEF-Const. of School Bldg. & Other Facilites,76.45,61.54,14.91,4115802.23,90,11/14/17,2/11/18,,MJ Dauz,FH GOPITEO CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-01-01,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,49.09,53.48,-4.39,24961302.94,265,6/25/17,3/16/18,,ME Dondiego,FREDEN CONSTRUCTION,On-going,2018-01-01,January,2018,
2018-01-01,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,1.02,15.4,-14.38,4995579.03,80,12/25/17,3/14/18,,MJ Dauz,JAMI CONST. & SUPPLY,On-going,2018-01-01,January,2018,
2018-02-01,Const. of Day Care Center @ Brgy. Magsaysay,Polomolok,CY 2017 20% LDF,94.42,100,-5.58,1192955.89,60,11/1/17,1/19/18,,E SOLATORIO,JAMI CONST. & SUPPLY,On-going,2018-02-01,February,2018,
2018-02-01,"Const. of 2-Storey Barangay Hall, Brgy. Upper Klinan",Polomolok,CY 2017 20% LDF,73.1,73.87,-0.77,2988998.84,105,11/14/17,2/26/18,,E SOLATORIO,"UNIFIED WORKERS CONST. & DEVELOPMENT MPC, INC.",On-going; Time extension is on process.,2018-02-01,February,2018,
2018-02-01,Conc. of Jct. Nhwy. Crossing Palkan-Palkan Road,Polomolok,CY 2017 20% LDF,96.54,100,-3.46,9965162.92,130,9/24/17,1/31/18,,A. DEMETILLO,DUMALAG SURVEYING & ENG'G. SERVICES,On-going,2018-02-01,February,2018,
2018-02-01,"Spring Development & inst. Of Level III Water System through Hydraulic Rampump, Prk. 4 Amguo",Polomolok,CY 2017 20% LDF,100,100,0,2826890.48,120,9/25/17,2/21/18,2/21/18,A. DEMETILLO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,Completed,2018-02-01,February,2018,
2018-02-01,Construction of Lined Canal Along Upper Klinan - Cannery Rd,Polomolok,CY 2017 CONST. APPROP.,17.77,2.19,15.58,4434321.22,195,1/23/18,8/5/18,,CJ HICBAN,"UNIFIED WORKERS CONST. & DEVELOPMENT MPC, INC.",On-going,2018-02-01,February,2018,
2018-02-01,"Completion of Barangay Hall, Brgy. Crossing Palkan",Polomolok,"1011-STAFF-999.26 BRGY. FACILITIES, CONST & IMPRV'T. PROG.",91.71,92.32,-0.61,591165.69,50,1/11/18,3/1/18,,A. DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going,2018-02-01,February,2018,
2018-02-01,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,77.25,100,-22.75,4904647.08,220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going,2018-02-01,February,2018,
2018-02-01,Inst. Of Lined Canal along Jct. Nhwy.-Kablon Road,Tupi,CY 2017 20% LDF,66.55,66.36,0.19,1272371.4,90,12/19/17,3/18/18,,A DEMETILLO,"UNIFIED WORKERS CONST. & DEVELOPMENT MPC, INC.",On-going,2018-02-01,February,2018,
2018-02-01,"Const. of 2-Storey Barangay Hall, Brgy. Kablon",Tupi,CY 2017 20% LDF,16.88,12.54,4.34,2980507.19,105,1/18/18,5/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going,2018-02-01,February,2018,
2018-02-01,"Const. of Facilites in Evacuation Centers (Const. of Comfort Room & Kitchen), Lunen ES",Tupi,CY 2017 CONT. APPROP.-CAL #34,52.25,38.66,13.59,1545000,75,1/18/18,4/2/18,,A DEMETILLO,FREDEN CONSTRUCTION,On-going,2018-02-01,February,2018,
2018-02-01,Const. of Stage @ Brgy. Tubeng,Tupi,CY 2017 20% LDF,42.8,40.25,2.55,915350.06,90,1/11/18,4/10/18,,A DEMETILLO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going,2018-02-01,February,2018,
2018-02-01,Inst. Of Lined Canal along Jct. Nhwy.-Cebuano Prov'l. Rd.,Tupi,9999-Non-Office 5% CF,56.19,31.93,24.26,1487915.68,70,1/18/18,3/28/18,,A DEMETILLO,KING BUILDERS CONST. & SUPPLY,On-going,2018-02-01,February,2018,
2018-02-01,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,58.21,78.66,-20.45,9769932.04,180,7/26/16,6/27/17,,CJ HICBAN,KING BUILDERS CONST. & SUPPLY,Suspended as of June 16 due to unpassable road condition before the beginning of project,2018-02-01,February,2018,
2018-02-01,"Refurbishing & Improvement of Provincial Pre-Audit Div. Office, Finance Bldg.",Koronadal City,CY 2016 CONST. APPROP. #228-GF,58.24,51.99,6.25,1041997.26,90,11/22/16,2/19/17,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,"February 22, 2018, suspension is on process due to the request for revision of the approved plan by the recipient.",2018-02-01,February,2018,
2018-02-01,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,31.93,34.18,-2.25,15950503.14,320,12/5/16,12/23/17,,E SOLATORIO,REYDAN BUILDERS,"Suspended as of September 13, 2017 due to new waterway (under negotiation)",2018-02-01,February,2018,
2018-02-01,Const. of Box Culvert @ Brgy. Saravia,Koronadal City,9999-Non-Office 5% CF,68.98,67.52,1.46,2939820.87,125,11/30/17,4/3/18,,E SOLATORIO,HVC SAGITTARIUS COMMERCIAL & CONST.,On-going,2018-02-01,February,2018,
2018-02-01,Const. of Water System @ PEO Compound,Koronadal City,PEO 8751-SB#1,52.78,65.08,-12.3,1916254.64,100,11/5/17,2/11/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going;,2018-02-01,February,2018,
2018-02-01,Replacement of SCGCC Roofing @ South Cotabato Gymnasium @ Cultural Center,Koronadal City,1011-SCGCC-SB#1,33.68,58.28,-24.6,5974714.75,90,11/8/17,2/5/18,,E SOLATORIO,TRIPLE Z MDSG. & ELECTRICAL SERVICES,On-going;,2018-02-01,February,2018,
2018-02-01,"Furniture & Fixtures Fabrication of Deck-Type Beds for Female Inmates, South Cotabato Detention & Rehab. Center",Koronadal City,1012-SCRDC-1-07-07-010-SB#1,90.08,84.73,5.35,993495.69,45,1/10/18,2/23/18,,E SOLATORIO,PASE CONSTRUCTION,On-going,2018-02-01,February,2018,
2018-02-01,Labor for the Repair & Repainting of Provincial Accounting Office (PACCO),Koronadal City,1061-5-02-13-040,100,100,0,95000,45,1/4/18,2/17/18,2/17/18,E SOLATORIO,RHANEL PABILONA,Completed,2018-02-01,February,2018,
2018-02-01,Fabrication & Inst. Of Rice Steamer,Koronadal City,1012-SCRDC-1-07-04-990,90.1,69.21,20.89,886672.15,60,1/11/18,3/11/18,,E SOLATORIO,FH GOPITEO CONST. & SUPPLY,On-going,2018-02-01,February,2018,
2018-02-01,Improvement of Electrical Facilities & Provision of power House @ Finance Bldg.,Koronadal City,1011-STAFF-999.32-IMPROV'T. OF BLDG. & ELECTRICAL FACILITIES,7.33,14.65,-7.32,5429158.31,90,1/22/18,4/21/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2018-02-01,February,2018,
2018-02-01,"Const. of SCRDC Addt'l. Bldg. for Female Inmates, Brgy. GPS",Koronadal City,CY 2017 CONT. APPROP.,90.8,100,-9.2,3994980.5,165,7/16/17,12/27/17,,CJ HICBAN,FREDEN CONSTRUCTION,On-going,2018-02-01,February,2018,
2018-02-01,Inst. Of Lined Canal along San Roque-Bukang Liwayway Road,Koronadal City,CY 2017 20% LDF,100,100,0,826261.82,75,12/3/17,2/15/18,,CJ HICBAN,FH GOPITEO CONST. & SUPPLY,On-going,2018-02-01,February,2018,
2018-02-01,Conc. Of Nhwy. to Brgy. Concepcion,Koronadal City,CY 2017 20% LDF,40.3,58.12,-17.82,5919451.68,75,11/28/17,2/10/18,,CJ HICBAN,BETTER WORK CONSTRUCTION,On-going;,2018-02-01,February,2018,
2018-02-01,Conc. Of San Jose-Columbio Brgy. Road,Koronadal City,CY 2017 CONST. APPROP. #198-GF,47.95,36,11.95,4993000,80,11/30/17,2/18/18,,CJ HICBAN,FREDEN CONSTRUCTION,"Suspended as of February 12, 2018, due to curing time of PCCP",2018-02-01,February,2018,
2018-02-01,"Const. of Materials Testing Quality Control Div. Bldg., PEO Compound",Koronadal City,PEO 8751-SB#1-P/P-999.2-CMTQCDB,50.75,57.4,-6.65,1690372.86,70,1/18/18,3/28/18,,Z TUMALA,MEGALINE BUILDERS & SUPPLY,On-going,2018-02-01,February,2018,
